mir-658,MIPF0000643
mir-103-as,MIPF0000644
mir-1272,MIPF0000645
mir-1827,MIPF0000646
mir-614,MIPF0000647
mir-1280,MIPF0000648
mir-1296,MIPF0000649
mir-1858,MIPF0000650
mir-595,MIPF0000651
mir-1276,MIPF0000652
mir-630,MIPF0000653
mir-1423,MIPF0000654
mir-1654,MIPF0000655
mir-559,MIPF0000656
mir-645,MIPF0000657
mir-302_2,MIPF0000658
mir-1753,MIPF0000659
mir-1288,MIPF0000660
mir-610,MIPF0000661
mir-635,MIPF0000662
mir-1322,MIPF0000663
mir-720,MIPF0000664
mir-1181,MIPF0000665
mir-1613,MIPF0000666
mir-1249,MIPF0000667
mir-1183,MIPF0000668
mir-1247,MIPF0000669
mir-1825,MIPF0000670
mir-1204,MIPF0000671
mir-617,MIPF0000672
mir-1182,MIPF0000673
mir-1275,MIPF0000674
mir-1292,MIPF0000675
mir-1295,MIPF0000676
mir-766,MIPF0000677
mir-1609,MIPF0000678
mir-641,MIPF0000679
mir-1766,MIPF0000680
mir-588,MIPF0000681
mir-1286,MIPF0000682
mir-1883,MIPF0000683
mir-1258,MIPF0000684
mir-923,MIPF0000685
mir-1569,MIPF0000686
mir-1263,MIPF0000687
mir-1265,MIPF0000688
mir-1236,MIPF0000689
mir-943,MIPF0000690
mir-1293,MIPF0000691
mir-1426,MIPF0000692
mir-1201,MIPF0000693
mir-1514,MIPF0000694
mir-1281,MIPF0000695
mir-1250,MIPF0000696
